iter	Passed	Remaining
0	1	154
1	2	134
2	3	127
3	5	122
4	6	121
5	7	118
6	8	115
7	10	116
8	11	115
9	12	112
10	13	110
11	14	108
12	15	106
13	17	105
14	18	104
15	19	102
16	20	101
17	21	99
18	23	98
19	24	97
20	25	96
21	26	95
22	28	93
23	29	92
24	30	90
25	31	89
26	32	88
27	33	86
28	34	85
29	36	84
30	37	83
31	38	82
32	39	80
33	40	79
34	42	78
35	43	76
36	44	75
37	45	74
38	46	73
39	47	71
40	48	70
41	50	69
42	51	68
43	52	67
44	53	65
45	55	64
46	56	63
47	57	61
48	58	60
49	59	59
50	60	58
51	61	56
52	62	55
53	64	54
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	70	47
60	72	46
61	73	44
62	74	43
63	75	42
64	76	41
65	77	40
66	78	38
67	80	37
68	81	36
69	82	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	92	25
78	93	24
79	95	23
80	97	22
81	98	21
82	99	20
83	100	19
84	101	17
85	103	16
86	104	15
87	105	14
88	106	13
89	108	12
90	109	10
91	110	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	118	2
98	119	1
99	120	0
